output_protocol,component,model,cutoff_percent,n,exact_match,token_f1,sentencebert
oa_only,output,tuned_qwen,all,1590,0.5761006289308176,0.8873297405495548,0.917061077723713
oa_only,output,tuned_qwen,25,265,0.5622641509433962,0.8885766075607772,0.9107601093796064
oa_only,output,tuned_qwen,40,265,0.5622641509433962,0.8882990044141397,0.9153954431695758
oa_only,output,tuned_qwen,55,265,0.5660377358490566,0.8846595358027101,0.913483025780264
oa_only,output,tuned_qwen,70,265,0.5962264150943396,0.8882839420122556,0.9241467632212729
oa_only,output,tuned_qwen,85,265,0.5886792452830188,0.8870247954043736,0.9186884041102428
oa_only,output,tuned_qwen,95,265,0.5811320754716981,0.8871345581030726,0.9198927206813164
oa_only,output,qwen_base,all,1590,0.620754716981132,0.8972819238967963,0.9324778841164127
oa_only,output,qwen_base,25,265,0.4716981132075472,0.8248009334357836,0.8818411163563998
oa_only,output,qwen_base,40,265,0.5358490566037736,0.863401071120272,0.9168585600718012
oa_only,output,qwen_base,55,265,0.6226415094339622,0.897128987056845,0.9376920522383924
oa_only,output,qwen_base,70,265,0.6716981132075471,0.9227408292780102,0.9474442011905166
oa_only,output,qwen_base,85,265,0.7018867924528301,0.9362062977101823,0.9538265855807179
oa_only,output,qwen_base,95,265,0.720754716981132,0.9394134247796845,0.9572047892606483
oa_only,output,gpt4o,all,1590,0.5767295597484277,0.8712971961445879,0.8945862897724476
oa_only,output,gpt4o,25,265,0.42641509433962266,0.7817946081542086,0.8027963510099447
oa_only,output,gpt4o,40,265,0.47547169811320755,0.8239115946330153,0.8510569308163984
oa_only,output,gpt4o,55,265,0.6037735849056604,0.891805767299663,0.9163657909294345
oa_only,output,gpt4o,70,265,0.6075471698113207,0.8892318718400849,0.9147447632168824
oa_only,output,gpt4o,85,265,0.6566037735849056,0.9111722695851442,0.9344233296952158
oa_only,output,gpt4o,95,265,0.690566037735849,0.9298670653554116,0.9481305729668096
oa_only,output,luna,all,1590,0.47861635220125787,0.8569127167073893,0.8914427859603234
oa_only,output,luna,25,265,0.35094339622641507,0.7670484362104784,0.8307290735109797
